DV: Distance From Shutter Button
F1: Distance, Distx, Disty, Dist
F2: .
F3: .
F4: .
F5: Orientation
F6: .
F7: .
17,-366,366.394596,Portrait
-117,-504,517.4021647,Portrait
-18,-589,589.2749783,Portrait
2,-470,470.0042553,Landscape
-6,-432,432.0416647,Landscape
-3,-511,511.0088062,Landscape
88,-777,781.9673906,Portrait
-217,-612,649.3327344,Portrait
-115,-583,594.2339607,Portrait
285,-690,746.5420283,Landscape
-157,-557,578.7037239,Landscape
-76,-451,457.3587214,Landscape
446,-683,815.7236052,Portrait
166,-655,675.7077771,Portrait
84,-719,723.890185,Portrait
11,-411,411.1471756,Landscape
40,-356,358.2401429,Landscape
-88,-570,576.7529801,Landscape
517,-1421,1512.12764,Portrait
609,-1154,1304.836005,Portrait
-72,-430,435.9862383,Portrait
488,-353,602.2897974,Landscape
-141,-2414,2418.114348,Landscape
240,-415,479.4006675,Landscape
204,-828,852.7602242,Portrait
-21,-385,385.5723019,Portrait
22,-519,519.466072,Portrait
-128,-464,481.3314866,Landscape
-124,-327,349.7213176,Landscape
-209,-448,494.3531127,Landscape
-12,-1349,1349.053372,Portrait
172,-871,887.8203647,Portrait
250,-589,639.860141,Portrait
-19,-614,614.2939036,Landscape
-50,-347,350.5837988,Landscape
147,-245,285.7166428,Landscape
5,-505,505.0247519,Landscape
15,-493,493.2281419,Landscape
-22,-557,557.4343011,Landscape
77,-416,423.0661887,Portrait
7,-366,366.0669338,Portrait
114,-541,552.8806381,Portrait
-24,-412,412.6984371,Landscape
-11,-401,401.1508444,Landscape
-68,-456,461.0422974,Landscape
2,-401,401.0049875,Portrait
-5,-527,527.0237186,Portrait
61,-449,453.1247069,Portrait
40,-434,435.83942,Landscape
66,-450,454.8142478,Landscape
-140,-485,504.8019414,Landscape
157,-566,587.3712625,Portrait
269,-719,767.6731075,Portrait
204,-739,766.640072,Portrait
153,-540,561.2566258,Landscape
85,-620,625.7994887,Landscape
154,-546,567.3023885,Landscape
64,-765,767.6724562,Portrait
13,-790,790.1069548,Portrait
-23,-739,739.3578295,Portrait
-203,-439,483.6631059,Landscape
83,-463,470.3806969,Landscape
157,-403,432.5020231,Landscape
384,-618,727.5850466,Portrait
174,-638,661.3017466,Portrait
296,-614,681.6245301,Portrait
-219,-455,504.9613847,Landscape
40,-425,426.8782028,Landscape
96,-510,518.9566456,Landscape
218,-581,620.5521735,Portrait
126,-764,774.3203471,Portrait
71,-778,781.2329998,Portrait
