DV: Distance From Shutter Button
F1: Distance, Distx, Disty, Dist
F2: .
F3: .
F4: .
F5: Participant
F6: .
F7: .
17,-366,366.394596,1
-117,-504,517.4021647,1
-18,-589,589.2749783,1
2,-470,470.0042553,1
-6,-432,432.0416647,1
-3,-511,511.0088062,1
88,-777,781.9673906,2
-217,-612,649.3327344,2
-115,-583,594.2339607,2
285,-690,746.5420283,2
-157,-557,578.7037239,2
-76,-451,457.3587214,2
446,-683,815.7236052,3
166,-655,675.7077771,3
84,-719,723.890185,3
11,-411,411.1471756,3
40,-356,358.2401429,3
-88,-570,576.7529801,3
517,-1421,1512.12764,4
609,-1154,1304.836005,4
-72,-430,435.9862383,4
488,-353,602.2897974,4
-141,-2414,2418.114348,4
240,-415,479.4006675,4
204,-828,852.7602242,5
-21,-385,385.5723019,5
22,-519,519.466072,5
-128,-464,481.3314866,5
-124,-327,349.7213176,5
-209,-448,494.3531127,5
-12,-1349,1349.053372,6
172,-871,887.8203647,6
250,-589,639.860141,6
-19,-614,614.2939036,6
-50,-347,350.5837988,6
147,-245,285.7166428,6
5,-505,505.0247519,7
15,-493,493.2281419,7
-22,-557,557.4343011,7
77,-416,423.0661887,7
7,-366,366.0669338,7
114,-541,552.8806381,7
-24,-412,412.6984371,8
-11,-401,401.1508444,8
-68,-456,461.0422974,8
2,-401,401.0049875,8
-5,-527,527.0237186,8
61,-449,453.1247069,8
40,-434,435.83942,9
66,-450,454.8142478,9
-140,-485,504.8019414,9
157,-566,587.3712625,9
269,-719,767.6731075,9
204,-739,766.640072,9
153,-540,561.2566258,10
85,-620,625.7994887,10
154,-546,567.3023885,10
64,-765,767.6724562,10
13,-790,790.1069548,10
-23,-739,739.3578295,10
-203,-439,483.6631059,11
83,-463,470.3806969,11
157,-403,432.5020231,11
384,-618,727.5850466,11
174,-638,661.3017466,11
296,-614,681.6245301,11
-219,-455,504.9613847,12
40,-425,426.8782028,12
96,-510,518.9566456,12
218,-581,620.5521735,12
126,-764,774.3203471,12
71,-778,781.2329998,12
