Distance X (from 720),Distance Y (from 2850),Distance
17,-366,366.394596
-117,-504,517.4021647
-18,-589,589.2749783
2,-470,470.0042553
-6,-432,432.0416647
-3,-511,511.0088062
88,-777,781.9673906
-217,-612,649.3327344
-115,-583,594.2339607
285,-690,746.5420283
-157,-557,578.7037239
-76,-451,457.3587214
446,-683,815.7236052
166,-655,675.7077771
84,-719,723.890185
11,-411,411.1471756
40,-356,358.2401429
-88,-570,576.7529801
517,-1421,1512.12764
609,-1154,1304.836005
-72,-430,435.9862383
488,-353,602.2897974
-141,-2414,2418.114348
240,-415,479.4006675
204,-828,852.7602242
-21,-385,385.5723019
22,-519,519.466072
-128,-464,481.3314866
-124,-327,349.7213176
-209,-448,494.3531127
-12,-1349,1349.053372
172,-871,887.8203647
250,-589,639.860141
-19,-614,614.2939036
-50,-347,350.5837988
147,-245,285.7166428
5,-505,505.0247519
15,-493,493.2281419
-22,-557,557.4343011
77,-416,423.0661887
7,-366,366.0669338
114,-541,552.8806381
-24,-412,412.6984371
-11,-401,401.1508444
-68,-456,461.0422974
2,-401,401.0049875
-5,-527,527.0237186
61,-449,453.1247069
40,-434,435.83942
66,-450,454.8142478
-140,-485,504.8019414
157,-566,587.3712625
269,-719,767.6731075
204,-739,766.640072
153,-540,561.2566258
85,-620,625.7994887
154,-546,567.3023885
64,-765,767.6724562
13,-790,790.1069548
-23,-739,739.3578295
-203,-439,483.6631059
83,-463,470.3806969
157,-403,432.5020231
384,-618,727.5850466
174,-638,661.3017466
296,-614,681.6245301
-219,-455,504.9613847
40,-425,426.8782028
96,-510,518.9566456
218,-581,620.5521735
126,-764,774.3203471
71,-778,781.2329998
