DV: Distance From Shutter Button
F1: Distance, Distx, Disty, Dist
F2: .
F3: .
F4: .
F5: Task
F6: .
F7: .
17,-366,366.394596,Selfie
-117,-504,517.4021647,GroupSelfie
-18,-589,589.2749783,Environment
2,-470,470.0042553,Selfie
-6,-432,432.0416647,GroupSelfie
-3,-511,511.0088062,Environment
88,-777,781.9673906,Selfie
-217,-612,649.3327344,Environment
-115,-583,594.2339607,GroupSelfie
285,-690,746.5420283,Selfie
-157,-557,578.7037239,Environment
-76,-451,457.3587214,GroupSelfie
446,-683,815.7236052,GroupSelfie
166,-655,675.7077771,Selfie
84,-719,723.890185,Environment
11,-411,411.1471756,GroupSelfie
40,-356,358.2401429,Selfie
-88,-570,576.7529801,Environment
517,-1421,1512.12764,GroupSelfie
609,-1154,1304.836005,Environment
-72,-430,435.9862383,Selfie
488,-353,602.2897974,GroupSelfie
-141,-2414,2418.114348,Environment
240,-415,479.4006675,Selfie
204,-828,852.7602242,Environment
-21,-385,385.5723019,Selfie
22,-519,519.466072,GroupSelfie
-128,-464,481.3314866,Environment
-124,-327,349.7213176,Selfie
-209,-448,494.3531127,GroupSelfie
-12,-1349,1349.053372,Environment
172,-871,887.8203647,GroupSelfie
250,-589,639.860141,Selfie
-19,-614,614.2939036,Environment
-50,-347,350.5837988,GroupSelfie
147,-245,285.7166428,Selfie
5,-505,505.0247519,Selfie
15,-493,493.2281419,GroupSelfie
-22,-557,557.4343011,Environment
77,-416,423.0661887,Selfie
7,-366,366.0669338,GroupSelfie
114,-541,552.8806381,Environment
-24,-412,412.6984371,Selfie
-11,-401,401.1508444,Environment
-68,-456,461.0422974,GroupSelfie
2,-401,401.0049875,Selfie
-5,-527,527.0237186,Environment
61,-449,453.1247069,GroupSelfie
40,-434,435.83942,GroupSelfie
66,-450,454.8142478,Selfie
-140,-485,504.8019414,Environment
157,-566,587.3712625,GroupSelfie
269,-719,767.6731075,Selfie
204,-739,766.640072,Environment
153,-540,561.2566258,GroupSelfie
85,-620,625.7994887,Environment
154,-546,567.3023885,Selfie
64,-765,767.6724562,GroupSelfie
13,-790,790.1069548,Environment
-23,-739,739.3578295,Selfie
-203,-439,483.6631059,Environment
83,-463,470.3806969,Selfie
157,-403,432.5020231,GroupSelfie
384,-618,727.5850466,Environment
174,-638,661.3017466,Selfie
296,-614,681.6245301,GroupSelfie
-219,-455,504.9613847,Environment
40,-425,426.8782028,GroupSelfie
96,-510,518.9566456,Selfie
218,-581,620.5521735,Environment
126,-764,774.3203471,GroupSelfie
71,-778,781.2329998,Selfie
